id,kd_daerah,nama
1,1,Aceh
2,2,Sumatera Utara
3,3,Sumatera Barat
4,4,Riau
5,5,Jambi
6,6,Sumatera Selatan
7,7,Bengkulu
8,8,Lampung
9,9,Kepulauan Bangka Belitung
10,10,Kepulauan Riau
11,11,DKI Jakarta
12,12,Jawa Barat
13,13,Jawa Tengah
14,14,DI Yogyakarta
15,15,Jawa Timur
16,16,Banten
17,17,Bali
18,18,Nusa Tenggara Barat
19,19,Nusa Tenggara Timur
20,20,Kalimantan Selatan
21,21,Kalimantan Tengah
22,22,Kalimantan Selatan
23,23,Kalimantan Timur
24,24,Kalimantan Utara
25,25,Sulawesi Utara
26,26,Sulawesi Barat
27,27,Sulawesi Selatan
28,28,Sulawesi Tenggara
29,29,Gorontalo
30,30,Sulawesi Barat
31,31,Maluku
32,32,Maluku Utara
33,33,Papua Barat
34,34,Papua
36,14981,Lombok Barat (Kab.)
37,14754,Ciamis (Kab.)
38,14755,Indramayu (Kab.)
39,14756,Tasikmalaya (Kab.)
40,14757,Kuningan (Kab.)
41,14758,Sumedang (Kab.)
42,14759,Majalengka (Kab.)
43,14760,Cirebon (Kab.)
44,14761,Garut (Kab.)
45,14762,Sukabumi (Kota)
46,14763,Bogor (Kota)
47,14764,Cirebon (Kota)
48,14765,Bandung (Kota)
49,14766,Purwakarta (Kab.)
50,14767,Subang (Kab.)
51,14768,Bekasi (Kab.)
52,14769,Karawang (Kab.)
53,14770,Bekasi (Kota)
54,14771,Sukabumi (Kab.)
55,14772,Bogor (Kab.)
56,14773,Bandung (Kab.)
57,14774,Cianjur (Kab.)
58,14775,Cimahi (Kota)
59,14776,Depok (Kota)
60,14777,Banjar (Kota)
61,14778,Tasikmalaya (Kota)
62,14779,Wonogiri (Kab.)
63,14780,Karanganyar (Kab.)
64,14781,Klaten (Kab.)
65,14782,Sukoharjo (Kab.)
66,14783,Blora (Kab.)
67,14784,Rembang (Kab.)
68,14785,Sragen (Kab.)
69,14786,Grobogan (Kab.)
70,14787,Boyolali (Kab.)
71,14788,Purbalingga (Kab.)
72,14789,Banjarnegara (Kab.)
73,14790,Cilacap (Kab.)
74,14791,Banyumas (Kab.)
75,14792,Wonosobo (Kab.)
76,14793,Magelang (Kab.)
77,14794,Kebumen (Kab.)
78,14795,Purworejo (Kab.)
79,14796,Pati (Kab.)
80,14797,Magelang (Kota)
81,14798,Surakarta (Kota)
82,14799,Tegal (Kab.)
83,14800,Brebes (Kab.)
84,14801,Tegal (Kota)
85,14802,Pekalongan (Kota)
86,14803,Salatiga (Kota)
87,14804,Semarang (Kota)
88,14805,Pemalang (Kab.)
89,14806,Demak (Kab.)
90,14807,Semarang (Kab.)
91,14808,Kudus (Kab.)
92,14809,Jepara (Kab.)
93,14810,Batang (Kab.)
94,14811,Pekalongan (Kab.)
95,14812,Temanggung (Kab.)
96,14813,Kendal (Kab.)
97,14814,Sleman (Kab.)
98,14815,Yogyakarta (Kota)
99,14816,Gunung Kidul (Kab.)
100,14817,Kulon Progo (Kab.)
101,14818,Bantul (Kab.)
102,14819,Sidoarjo (Kab.)
103,14820,Mojokerto (Kab.)
104,14821,Pasuruan (Kab.)
105,14822,Situbondo (Kab.)
106,14823,Probolinggo (Kab.)
107,14824,Jombang (Kab.)
108,14825,Malang (Kota)
109,14826,Probolinggo (Kota)
110,14827,Blitar (Kota)
111,14828,Nganjuk (Kab.)
112,14829,Kediri (Kota)
113,14830,Tulungagung (Kab.)
114,14831,Blitar (Kab.)
115,14833,Pacitan (Kab.)
116,14834,Ponorogo (Kab.)
117,14835,Kediri (Kab.)
118,14836,Banyuwangi (Kab.)
119,14837,Bondowoso (Kab.)
120,14838,Jember (Kab.)
121,14839,Malang (Kab.)
122,14840,Lumajang (Kab.)
123,14841,Pasuruan (Kota)
124,14842,Sampang (Kab.)
125,14843,Bangkalan (Kab.)
126,14844,Gresik (Kab.)
127,14845,Pamekasan (Kab.)
128,14846,Batu (Kota)
129,14847,Surabaya (Kota)
130,14848,Sumenep (Kab.)
131,14849,Lamongan (Kab.)
132,14850,Madiun (Kab.)
133,14851,Madiun (Kota)
134,14852,Mojokerto (Kota)
135,14853,Magetan (Kab.)
136,14854,Tuban (Kab.)
137,14855,Bojonegoro (Kab.)
138,14856,Ngawi (Kab.)
139,14857,Sekadau (Kab.)
140,14858,Kapuas Hulu (Kab.)
141,14859,Sintang (Kab.)
142,14860,Singkawang (Kota)
143,14861,Pontianak (Kota)
144,14862,Melawi (Kab.)
145,14863,Landak (Kab.)
146,14864,Bengkayang (Kab.)
147,14865,Sambas (Kab.)
148,14866,Ketapang (Kab.)
149,14867,Sanggau (Kab.)
150,14869,Pulang Pisau (Kab.)
151,14870,Katingan (Kab.)
152,14871,Seruyan (Kab.)
153,14872,Gunung Mas (Kab.)
154,14873,Palangka Raya (Kota)
155,14874,Murung Raya (Kab.)
156,14875,Barito Timur (Kab.)
157,14876,Kapuas (Kab.)
158,14877,Kotawaringin Timur (Kab.)
159,14878,Kotawaringin Barat (Kab.)
160,14879,Barito Selatan (Kab.)
161,14880,Lamandau (Kab.)
162,14881,Sukamana (Kab.)
163,14882,Barito Utara (Kab.)
164,14883,Barito Kuala (Kab.)
165,14884,Tapin (Kab.)
166,14885,Hulu Sungai Selatan (Kab.)
167,14886,Tanah Laut (Kab.)
168,15016,Yahukimo (Kab.)
169,15017,Jayapura (Kab.)
170,15018,Nabire (Kab.)
171,15019,Merauke (Kab.)
172,15020,Jayawijaya (Kab.)
173,15022,Yapen Waropen (Kab.)
174,15023,Biak Numfor (Kab.)
175,15026,Sarmi (Kab.)
176,15027,Waropen (Kab.)
177,15029,Supiori (Kab.)
178,15031,Jayapura (Kota)
179,15033,Keerom (Kab.)
180,15037,Halmahera Timur (Kab.)
181,15038,Halmahera Utara (Kab.)
182,15039,Tidore Kepulauan (Kota)
183,15040,Ternate (Kota)
184,15041,Halmahera Tengah (Kab.)
185,15042,Maluku Utara (Kab.)
186,15043,Halmahera Selatan (Kab.)
187,15044,Kepulauan Sula (Kab.)
188,15045,Serang (Kab.)
189,15046,Tangerang (Kota)
190,15047,Cilegon (Kota)
191,15048,Pandeglang (Kab.)
192,15049,Lebak (Kab.)
193,15050,Tangerang (Kab.)
194,15051,Bone Bolango (Kab.)
195,15052,Gorontalo (Kota)
196,15053,Pohuwato (Kab.)
197,15054,Boalemo (Kab.)
198,15055,Gorontalo (Kab.)
199,15056,Bangka Barat (Kab.)
200,15057,Belitung Timur (Kab.)
201,15058,Pangkal Pinang (Kota)
202,15059,Bangka Tengah (Kab.)
203,15060,Bangka (Kab.)
204,15061,Belitung (Kab.)
205,15062,Bangka Selatan (Kab.)
206,15063,Lingga (Kab.)
207,15064,Batam (Kota)
208,15065,Tanjung Pinang (Kota)
209,15066,Karimun (Kab.)
210,15067,Kepulauan Riau (Kab.)
211,15068,Natuna (Kab.)
212,14971,Tabanan (Kab.)
213,14972,Jembrana (Kab.)
214,14973,Gianyar (Kab.)
215,14974,Badung (Kab.)
216,14975,Sumbawa Barat (Kab.)
217,14976,Bima (Kab.)
218,14977,Bima (Kota)
219,14978,Mataram (Kota)
220,14979,Dompu (Kab.)
221,14980,Lombok Tengah (Kab.)
222,14982,Sumbawa (Kab.)
223,14983,Lombok Timur (Kab.)
224,14984,Ende (Kab.)
225,14985,Ngada (Kab.)
226,14986,Flores Timur (Kab.)
227,14987,Sikka (Kab.)
228,14988,Manggarai Barat (Kab.)
229,14989,Kupang (Kota)
230,14990,Manggarai (Kab.)
231,14991,Rote Ndao (Kota)
232,14992,Kupang (Kab.)
233,14993,Timor Tengah Selatan (Kab.)
234,14994,Sumba Barat (Kab.)
235,14995,Sumba Timur (Kab.)
236,14996,Alor (Kab.)
237,14997,Lembata (Kab.)
238,14998,Timor Tengah Utara (Kab.)
239,14999,Belu (Kab.)
240,15000,Seram Bagian Barat (Kab.)
241,15001,Kepulauan Aru (Kab.)
242,15002,Ambon (Kota)
243,15003,Seram Bagian Timur (Kab.)
244,15004,Maluku Tenggara (Kab.)
245,15005,Maluku Tenggara Barat (Kab.)
246,15006,Buru (Kab.)
247,15007,Maluku Tengah (Kab.)
248,15008,Mimika (Kab.)
249,15009,Boven Digoel (Kab.)
250,15010,Paniai (Kab.)
251,15011,Puncak Jaya (Kab.)
252,15012,Mappi (Kab.)
253,15013,Pegunungan Bintang (Kab.)
254,15014,Tolikara (Kab.)
255,15015,Asmat (Kab.)
256,14887,Kota Baru (Kab.)
257,14888,Banjar (Kab.)
258,14889,Hulu Sungai Tengah (Kab.)
259,14890,Banjarmasin (Kota)
260,14891,Balangan (Kab.)
261,14892,Tanah Bumbu (Kab.)
262,14893,Hulu Sungai Utara (Kab.)
263,14894,Tabalong (Kab.)
264,14895,Banjar Baru (Kota)
265,14896,Kutai Timur (Kab.)
266,14897,Berau (Kab.)
267,14900,Kutai Barat (Kab.)
268,14901,Bontang (Kota)
269,14902,Balikpapan (Kota)
270,14903,Samarinda (Kota)
271,14908,Penajem Paser Utara (Kab.)
272,14909,Minahasa Utara (Kab.)
273,14910,Minahasa Selatan (Kab.)
274,14911,Minahasa (Kab.)
275,14912,Tomohon (Kota)
276,14913,Bitung (Kota)
277,14914,Manado (Kota)
278,14915,Sangihe Talaud (Kab.)
279,14916,Kepulauan Talaud (Kab.)
280,14917,Bolaang Mengondow (Kab.)
281,14918,Buol (Kab.)
282,14919,Morowali (Kab.)
283,14920,Palu (Kota)
284,14921,Parigi Moutong (Kab.)
285,14922,Tojo Una-Una (Kab.)
286,14923,Dongala (Kab.)
287,14924,Poso (Kab.)
288,14925,Toli-Toli (Kab.)
289,14926,Banggai (Kab.)
290,14927,Banggai Kepulauan (Kab.)
291,14928,Pangkajene Kepulauan (Kab.)
292,14929,Maros (Kab.)
293,14930,Sinjai (Kab.)
294,14931,Soppeng (Kab.)
295,14932,Bone (Kab.)
296,14933,Barru (Kab.)
297,14934,Bantaeng (Kab.)
298,14935,Bulukumba (Kab.)
299,14936,Selayar (Kab.)
300,14937,Gowa (Kab.)
301,14938,Takalar (Kab.)
302,14939,Jeneponto (Kab.)
303,14940,Wajo (Kab.)
304,14943,Luwu Utara (Kab.)
305,14944,Luwu Timur (Kab.)
306,14945,Palopo (Kota)
307,14946,Pare-Pare (Kota)
308,14947,Makassar (Kota)
309,14949,Enrekang (Kab.)
310,14950,Pinrang (Kab.)
311,14951,Sidenreng Rappang (Kab.)
312,14952,Luwu (Kab.)
313,14955,Tana Toraja (Kab.)
314,14956,Wakatobi (Kab.)
315,14957,Bombana (Kab.)
316,14958,Kolaka Utara (Kab.)
317,14959,Baubau (Kota)
318,14960,Kendari (Kota)
319,14961,Muna (Kab.)
320,14962,Buton (Kab.)
321,14963,Kendari (Kab.)
322,14964,Konawe Selatan (Kab.)
323,14965,Kolaka (Kab.)
324,14966,Karang Asem (Kab.)
325,14967,Bangli (Kab.)
326,14968,Denpasar (Kota)
327,14969,Buleleng (Kab.)
328,14970,Klungkung (Kab.)
329,14629,Nagan Raya (Kab.)
330,14630,Aceh Jaya (Kab.)
331,14631,Aceh Tamiang (Kab.)
332,14632,Aceh Barat Daya (Kab.)
333,14633,Gayo Lues (Kab.)
334,14634,Langsa (Kota)
335,14635,Lhokseumawe (Kota)
336,14636,Sabang (Kota)
337,14637,Bener Meriah (Kab.)
338,14638,Banda Aceh (Kota)
339,14639,Aceh Utara (Kab.)
340,14640,Aceh Tenggara (Kab.)
341,14641,Aceh Timur (Kab.)
342,14642,Aceh Selatan (Kab.)
343,14643,Simeulue (Kab.)
344,14644,Aceh Singkil (Kab.)
345,14645,Pidie (Kab.)
346,14646,Bireuen (Kab.)
347,14647,Aceh Besar (Kab.)
348,14648,Aceh Tengah (Kab.)
349,14649,Aceh Barat (Kab.)
350,14650,Toba Samosir (Kab.)
351,14651,Tapanuli Utara (Kab.)
352,14652,Asahan (Kab.)
353,14653,Labuhan Batu (Kab.)
354,14654,Mandailing Natal (Kab.)
355,14655,Nias (Kab.)
356,14656,Tapanuli Tengah (Kab.)
357,14657,Tapanuli Selatan (Kab.)
358,14658,Simalungun (Kab.)
359,14659,Tanjung Balai (Kota)
360,14660,Pematang Siantar (Kota)
361,14661,Serdang Bedagai (Kab.)
362,14662,Sibolga (Kota)
363,14663,Binjai (Kota)
364,14664,Padang Sidempuan (Kota)
365,14665,Tebing Tinggi (Kota)
366,14666,Medan (Kota)
367,14667,Deli Serdang (Kab.)
368,14668,Langkat (Kab.)
369,14669,Dairi (Kab.)
370,14670,Karo (Kab.)
371,14671,Pakpak Bharat (Kab.)
372,14672,Samosir (Kab.)
373,14673,Nias Selatan (Kab.)
374,14674,Humbang Hasundutan (Kab.)
375,14675,Padang (Kota)
376,14676,Sawah Lunto (Kota)
377,14677,Dharmas Raya (Kab.)
378,14678,Pasaman Barat (Kab.)
379,14679,Padang Panjang (Kota)
380,14680,Pariaman (Kota)
381,14681,Solok (Kota)
382,14682,Bukit Tinggi (Kota)
383,14683,Payakumbuh (Kota)
384,14684,Solok Selatan (Kab.)
385,14685,Solok (Kab.)
386,14686,Sawahlunto/Sijunjung (Kab.)
387,14687,Kepulauan Mentawai (Kab.)
388,14688,Pesisir Selatan (Kab.)
389,14689,Tanah Datar (Kab.)
390,14690,Lima Puluh Koto (Kab.)
391,14691,Pasaman (Kab.)
392,14692,Padang Pariaman (Kab.)
393,14693,Agam (Kab.)
394,14694,Kampar (Kab.)
395,14695,Siak (Kab.)
396,14696,Dumai (Kota)
397,14697,Rokan Hulu (Kab.)
398,14698,Bengkalis (Kab.)
399,14699,Rokan Hilir (Kab.)
400,14700,Pekan Baru (Kota)
401,14701,Pelalawan (Kab.)
402,14702,Indragiri Hilir (Kab.)
403,14703,Kuantan Singingi (Kab.)
404,14704,Indragiri Hulu (Kab.)
405,14705,Bungo (Kab.)
406,14706,Kerinci (Kab.)
407,14707,Jambi (Kota)
408,14708,Tebo (Kab.)
409,14709,Batang Hari (Kab.)
410,14710,Sarolangun (Kab.)
411,14711,Merangin (Kab.)
412,14712,Tanjung Jabung Barat (Kab.)
413,14713,Tanjung Jabung Timur (Kab.)
414,14714,Muaro Jambi (Kab.)
415,14715,Prabumulih (Kota)
416,14716,Palembang (Kota)
417,14717,Lubuk Linggau (Kota)
418,14718,Pagar Alam (Kota)
419,14719,Ogan Ilir (Kab.)
420,14720,Banyuasin (Kab.)
421,14721,Musi Banyu Asin (Kab.)
422,14722,Ogan Komering Ulu Timur (Kab.)
423,14723,Ogan Komering Ulu Selatan (Kab.)
424,14724,Muara Enim (Kab.)
425,14725,Ogan Komering Ilir (Kab.)
426,14726,Musi Rawas (Kab.)
427,14727,Lahat (Kab.)
428,14728,Ogan Komering Ulu (Kab.)
429,14729,Rejang Lebong (Kab.)
430,14730,Lebong (Kab.)
431,14731,Bengkulu Selatan (Kab.)
432,14732,Kaur (Kab.)
433,14733,Bengkulu Utara (Kab.)
434,14734,Mukomuko (Kab.)
435,14735,Seluma (Kab.)
436,14736,Kepahiang (Kab.)
437,14737,Bengkulu (Kota)
438,14738,Tanggamus (Kab.)
439,14739,Lampung Barat (Kab.)
440,14740,Way Kanan (Kab.)
441,14741,Metro (Kota)
442,14742,Lampung Selatan (Kab.)
443,14743,Tulang Bawang (Kab.)
444,14744,Bandar Lampung (Kota)
445,14745,Lampung Tengah (Kab.)
446,14746,Lampung Utara (Kab.)
447,14747,Lampung Timur (Kab.)
448,14748,Jakarta Pusat (Kota)
449,14749,Jakarta Timur (Kota)
450,14750,Jakarta Barat (Kota)
451,14751,Jakarta Utara (Kota)
452,14752,Jakarta Selatan (Kota)
453,14753,Adm. Kepulauan Seribu (Kab.)
454,16000,Pidie Jaya (Kab.)
455,16001,Subulussalam (Kota)
456,16002,Serang (Kota)
457,16003,Tangerang Selatan (Kota)
458,16004,Bengkulu Tengah (Kab.)
459,16005,Gorontalo Utara (Kab.)
460,16006,Sungai Penuh (Kab.)
461,16007,Bandung Barat (Kab.)
462,16008,Kubu Raya (Kab.)
463,16009,Kayong Utara (Kab.)
464,16012,Bintan (Kab.)
465,16013,Kepulauan Anambas (Kab.)
466,16014,Pesawaran (Kab.)
467,16015,Tulang Bawang Barat (Kab.)
468,16016,Mesuji (Kab.)
469,16017,Pringsewu (Kab.)
470,16056,Tual (Kota)
471,16018,Buru Selatan (Kab.)
472,16019,Maluku Barat Daya (Kab.)
473,16020,Halmahera Barat (Kab.)
474,16022,Lombok Utara (Kab.)
475,16023,Sumba Barat Daya (Kab.)
476,16024,Nagekeo (Kab.)
477,16025,Manggarai Timur (Kab.)
478,16026,Sumba Tengah (Kab.)
479,16027,Sabu Raijua (Kab.)
480,16028,Dogiyai (Kab.)
481,16029,Kepulauan Yapen (Kab.)
482,16030,Lanny Jaya (Kab.)
483,16031,Mamberamo Raya (Kab.)
484,16032,Mamberamo Tengah (Kab.)
485,16033,Nduga Tengah (Kab.)
486,16034,Puncak (Kab.)
487,16035,Yalimo (Kab.)
488,16057,Deiyai (Kab.)
489,16058,Intan Jaya (Kab.)
490,16038,Meranti (Kab.)
491,16039,Toraja utara (Kab.)
492,16040,Sigi (Kab.)
493,16041,Buton Utara (Kab.)
494,16042,Konawe Utara (Kab.)
495,16043,Konawe (Kab.)
496,16044,Kepulauan Siau Tagulandang Biaro (Kab.)
497,16045,Kotamobagu (Kota)
498,16046,Minahasa Tenggara (Kab.)
499,16047,Bolaang Mongondow Timur (Kab.)
500,16048,Bolaang Mongondow Utara (Kab.)
501,16049,Empat Lawang (Kab.)
502,16050,Batubara (Kab.)
503,16051,Labuhan Batu Selatan (Kab.)
504,16052,Padang Lawas (Kab.)
505,16059,Nias Barat (Kab.)
506,16053,Labuhan Batu Utara (Kab.)
507,16060,Gunung Sitoli (Kab.)
508,16054,Nias Utara (Kab.)
509,16010,Sukamara (Kab.)
510,16055,Padang Lawas Utara (Kab.)
511,16062,pantai kasuari (Kab.)
512,16063,Bolaang Mongondow Selatan (Kab.)
513,14953,Majene (Kab.)
514,14942,Mamase (Kab.)
515,14948,Mamuju (Kab.)
516,14941,Mamuju Utara (Kab.)
517,14954,Polewali Mandar (Kab.)
518,15025,Manokwari (Kab.)
519,15024,Sorong (Kab.)
520,15021,Fak-Fak (Kab.)
521,15035,Teluk Bintuni (Kab.)
522,15036,Raja Ampat (Kab.)
523,15030,Sorong (Kota)
524,15028,Teluk Wondama (Kab.)
525,15034,Sorong Selatan (Kab.)
526,15032,Kaimana (Kab.)
527,16037,Maybrat (Kab.)
528,16036,Tambrauw (Kab.)
529,14898,Kutai Kartanegara (Kab.)
530,14832,Terenggalek (Kab.)
531,14899,Paser (Kab.)
532,14904,Tarakan (Kota)
533,14905,Bulungan (Kab.)
534,14906,Malinau (Kab.)
535,14907,Nunukan (Kab.)
536,16011,Tana Tidung (Kab.)
537,16065,Mahakam Ulu (Kab.)
538,16064,Malaka (Kab.)
539,16066,Pangandaran (Kab.)
540,27003,Kabupaten Konawe Kepulauan
541,27002,Kabupaten Kolaka Timur
542,16067,Musi Rawas Utara (Kab.)
